T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
12.2,23.9,5.7,1014.5,88,0.3,0.7,5.4,255.875
11.8,20.1,8.4,1015.3,89,0.3,2.8,9.4,217.08333333333334
11.3,18.2,6.7,1015.6,85,0.6,3.5,9.4,229.16666666666666
13.2,20.8,6.4,1015.2,69,1.4,8.5,14.8,298.4583333333333
12.1,20.7,5,1017.6,72,1.4,3.9,11.1,264.9166666666667
12.2,21.7,4.2,1019.1,75,1.4,5.7,18.3,404.5
13.6,23.7,5.5,1016.1,68,1.4,4.4,18.3,188.5
14,23.7,5.7,1016.2,69,2.3,4.8,14.8,164.75
14.7,25,6.4,1015.6,70,1.4,9.4,24.1,376.9166666666667
15.8,24.2,9.5,1016,79,1,4.6,11.1,0.0
14.2,24.9,8,1014.9,75,0.6,5,13,0.0
13.9,25.2,5,1014.7,70,1.9,0.4,3.5,57.0
12.5,18.9,8.8,1013.4,90,0.6,8.3,16.5,202.91666666666666
12.1,18.4,7,1014.1,89,0.5,4.4,9.4,205.125
13,20.2,8,1014.4,79,0.6,4.3,9.4,214.125
17.2,26.9,9.9,1014.3,69,1.4,13,25.9,315.7916666666667
18.7,27.2,11,1013.9,69,1.4,3,13,322.25
17.7,27.8,10.5,1012.7,69,1.6,3.7,14.8,246.04166666666666
16,26.5,9.3,1015.4,57,1.4,4.4,13,200.91666666666666
15,23.6,8.5,1014.6,55,1.4,7.4,22.2,99.5
13.9,24.1,5.5,1013.8,61,1.6,1.7,9.4,143.91666666666666
14.6,24,6.1,1014.4,59,1.3,2.2,7.6,100.25
16.4,23.4,9,1022.5,75,1.6,5.2,14.8,165.0
16.4,23.5,10.2,1021.6,63,1.8,11.1,25.9,116.45833333333333
17.5,23.4,11.6,1019.6,66,2.4,9.8,25.9,143.0
18.1,26.6,10,1013.9,60,1.6,3.3,18.3,231.125
19,28.2,10.1,1012.9,62,2.1,4.4,14.8,218.66666666666666
21.5,31.2,12.5,1010.5,59,1.8,1.5,5.4,211.0
22.5,31.6,17,1015.4,65,1.9,7.4,16.5,52.208333333333336
21.1,29.4,14.5,1012.8,64,2.6,11.3,25.9,187.5
22.3,29.8,15.4,1012.6,65,1.9,6.3,24.1,130.16666666666666
21.7,30.7,14.9,1010.8,62,1.6,1.7,7.6,123.125
22.9,31,15.5,1009,58,2.3,3.9,14.8,120.91666666666667
24.1,32.3,16.6,1006.9,53,2.1,2,9.4,153.625
21.8,29.4,14.7,1012.3,53,2.6,7.6,22.2,130.33333333333334
22.6,31.6,13.3,1013.2,57,2.3,3.1,14.8,110.70833333333333
23.4,32.2,14.8,1013.1,52,1.8,3.5,11.1,138.5
25.9,35.6,17.1,1008.9,45,2.3,2.8,11.1,75.75
